Key,English,French,german,russian
hireNPCsMaleWithItem,"Hire a male NPC with some brass in your hand","","Heuere einen männlichen NSC mit etwas Messing in deiner Hand an","Нанять мужчину NPC с небольшим количеством латуни в руке"
hireNPCsMaleWithmaterial,"Hire a male NPC with a wood material in your hand.","","Heuere einen männlichen NSC mit einem Holzmaterial in deiner Hand an.","Нанять мужчину NPC с деревянным материалом в руке."
onHarvest,"Harvest","","Ernten","Собирать урожай"
NPC_title,"Hire NPCs","","NSCs anheuern","Нанять NPC"
SCore03challenges_key,"Harvests","","Ernten","Урожаи"
challengeKillZombiesWithItemDesc,"Kill Zombies","","Zombies töten","Убить зомби"
challengeKillWithItemDesc,"Kill","","Töten","Убить"
challengeObjectiveWearTags,"Wear with tag(s) ","","Tragen mit Tag(s) ","Носить с тегом(ами) "
challengeObjectiveGatherTags,"Gather items with the tag(s)","","Sammle Gegenstände mit dem/den Tag(s)","Собирать предметы с тегом(ами)"
challengeObjectiveOnCVar,"Get CVar","","CVar erhalten","Получить CVar"
challengeObjectiveOnBlockUpgrade,"Upgrade Block","","Block verbessern","Улучшить блок"
challengeObjectiveCraftWithTags,"Craft with tags","","Herstellen mit Tags","Создать с тегами"
repair_limit_reached,"Repair Reached For This Item.","","Reparaturlimit für diesen Gegenstand erreicht.","Достигнут лимит ремонта для этого предмета."
score_versioncheck_mismatchTitle,"Version Mismatch Detected","","Versionskonflikt erkannt","Обнаружено несоответствие версий"
score_versioncheck_mismatchDesc,"The game version ({0}) does not match the mod version ({1}). This may cause issues.","","Die Spielversion ({0}) stimmt nicht mit der Mod-Version ({1}) überein. Dies kann zu Problemen führen.","Версия игры ({0}) не соответствует версии мода ({1}). Это может вызвать проблемы."
sprinkler_manual_on,"Sprinkler Manual On","","Sprinkler manuell ein","Ручное включение разбрызгивателя"
sprinkler_manual_off,"Sprinkler Manual Off","","Sprinkler manuell aus","Ручное выключение разбрызгивателя"
sprinkler_auto_on,"Sprinkler Auto On","","Sprinkler automatisch ein","Автоматическое включение разбрызгивателя"
sprinkler_auto_off,"Sprinkler Auto Off","","Sprinkler automatisch aus","Автоматическое выключение разбрызгивателя"
sprinkler_auto,"Sprinkler Auto","","Sprinkler Auto","Автоматический разбрызгиватель"
sprinkler_manual,"Sprinkler Manual","","Sprinkler manuell","Ручной разбрызгиватель"
sprinkler_auto_desc,"Sprinkler Auto","","Sprinkler Auto","Автоматический разбрызгиватель"
sprinkler_manual_desc,"Sprinkler Manual","","Sprinkler manuell","Ручной разбрызгиватель"
sharedReadingDesc,"Shared Reading from","","Geteiltes Lesen von","Совместное чтение от"
sharedReadingSourceDesc,"Sharing To Party Members","","Teilen mit Gruppenmitgliedern","Поделиться с членами группы"
poi_no_building,"No Building Within This POI.","","Kein Gebäude in diesem POI.","В этом POI нет зданий."
LearnByDoingLevelUp,"Skill Level Up! You are a better","","Fähigkeitslevel aufgestiegen! Du bist ein besserer","Уровень навыка повышен! Вы стали лучше"
challengePlaceBlockByTag,"Place Block with Tag","",""
BrokenItem,"Broken","",""
xuiNeedPower,"Power","",""
